,Unnamed: 0,Name,VarianceFantasyEvaluation,PlayedMatches,Team,Role,MedianFantasyEvaluation,WeightedFantasyEvaluation,Qt..A,Qt..I,Plays2018_2019,Owner,Price,MantraRole,MeanFantasyEvaluation,Id,R,Squadra,Qt. A,Qt. I,Diff.
14,42.0,BARILLA,,1.0,,C,,0.0,5.0,3.0,,,,C,6.6,2802,C,Parma,8,8,0
15,43.0,BARRETO,,10.0,,C,,1.5935300604,5.0,5.0,,,,C,6.375,494,C,Sampdoria,5,5,0
16,45.0,BARROW,3.1515151515,12.0,Atalanta,A,6.25,2.2631578947,10.0,11.0,,,,Pc,6.78125,2719,A,Atalanta,9,9,0
17,47.0,BASELLI,2.0796370968,32.0,Torino,C,6.0,5.2368421053,10.0,10.0,,,,C,6.16666666666667,556,C,Torino,10,10,0
18,50.0,BASTONI,0.0625,4.0,Atalanta,D,6.0,0.6447368421,1.0,1.0,,,,Dc,6.125,2120,D,Inter,4,4,0
19,51.0,BASTOS,2.5976190476,21.0,Lazio,D,6.0,3.6184210526,8.0,8.0,,,,Dc,6.52272727272727,2062,D,Lazio,6,6,0
20,56.0,BELOTTI,8.8054435484,32.0,Torino,A,5.75,5.7105263158,29.0,29.0,,,,Pc,6.851351351351349,441,A,Torino,31,30,1
21,57.0,BENASSI,2.9525210083999998,35.0,Fiorentina,C,5.5,5.842105263200001,15.0,12.0,,,,C,6.58974358974359,557,C,Fiorentina,15,15,0
22,59.0,BENNACER,,21.0,,C,,3.3717878602,6.0,6.0,,,,C,6.1,2818,C,Milan,10,10,0
23,60.0,BENTANCUR,0.09473684210000001,20.0,Juventus,C,6.0,3.1052631579,7.0,8.0,,,,C,5.8695652173913,2166,C,Juventus,8,8,0
24,61.0,BERARDI,2.8978494624,31.0,Sassuolo,A,5.5,4.6973684211,18.0,16.0,,VE,14.0,A,6.0,531,A,Sassuolo,18,18,0
25,62.0,BERENGUER,1.3187229437,22.0,Torino,C,6.0,3.5657894737,5.0,5.0,,,,W,6.1153846153846105,2205,C,Torino,8,8,0
26,63.0,BERESZYNSKI,0.3139784946,31.0,Sampdoria,D,5.5,4.7105263158,7.0,7.0,,,,Dd,5.857142857142861,2104,D,Sampdoria,6,6,0
27,65.0,BERISHAE,1.1994623656,31.0,Atalanta,P,5.0,4.1842105263,11.0,12.0,,,,Por,4.75,316,P,SPAL,8,8,0
28,66.0,BERNARDESCHI,2.9875541126,22.0,Juventus,C,6.0,4.0657894737,17.0,16.0,,BRYAN,12.0,W,7.173076923076921,184,C,Juventus,19,19,0
29,69.0,BESSA,2.6570767196,28.0,Genoa,C,6.0,4.5921052632,6.0,7.0,,,,C,6.171875,264,C,Verona,9,9,0
30,72.0,BIGLIA,1.0459656085,28.0,Milan,C,6.0,4.4078947368,8.0,8.0,,,,M,5.9375,331,C,Milan,8,8,0
31,74.0,BIRAGHI,1.0875668449,34.0,Fiorentina,D,6.0,5.2763157895,7.0,6.0,,GATTI,2.0,E,5.94736842105263,252,D,Fiorentina,10,10,0
32,76.0,BIRASCHI,0.41600790509999996,23.0,Genoa,D,6.0,3.5921052632,6.0,6.0,,,,Dd,5.87037037037037,2083,D,Genoa,8,8,0
33,78.0,BIRSA,1.5764705881999999,35.0,Chievo,C,6.0,5.8026315789,12.0,12.0,,,,T,6.35897435897436,111,C,Cagliari,7,7,0
34,79.0,BOATENG,,38.0,,C,,6.5570139552999995,22.0,20.0,,ME,25.0,A,8.5,771,A,Fiorentina,16,15,1
35,81.0,BOGA,,31.0,,C,,4.4001562034,8.0,8.0,,,,A,5.83333333333333,2832,A,Sassuolo,12,12,0
36,83.0,BONAVENTURA,4.9947916667,33.0,Milan,C,6.0,5.9342105263,21.0,20.0,,VE,23.0,W,6.93243243243243,367,C,Milan,16,16,0
37,86.0,BONIFAZI,0.4,6.0,Torino,D,6.25,0.9473684211,2.0,3.0,,,,Dc,6.0,2192,D,Torino,9,8,1
38,87.0,BONUCCI,1.4117647059,35.0,Milan,D,6.0,5.526315789500001,12.0,12.0,,VE,23.0,Dc,5.97435897435897,286,D,Juventus,11,11,0
39,88.0,BORINI,1.4174876847,29.0,Milan,C,6.0,4.6578947368,6.0,6.0,,,,W,6.15,2187,C,Milan,5,5,0
40,89.0,BORJAVALERO,0.9974206349,36.0,Inter,C,6.0,5.776315789500001,5.0,6.0,,ME,6.0,C,6.094594594594589,172,C,Inter,3,3,0
41,90.0,BOURABIA,,10.0,,C,,1.5935300604,6.0,5.0,,,,C,6.0,2825,C,Sassuolo,6,6,0
42,91.0,BRADARIC,,30.0,,C,,4.7231839663,9.0,9.0,,,,C,5.875,2854,C,Cagliari,4,4,0
43,93.0,BREMER,,1.0,,D,,0.0,3.0,4.0,,VE,3.0,Dc,6.0,2788,D,Torino,4,4,0
44,97.0,BRIGNOLA,2.3897058824,18.0,Benevento,A,6.5,3.1973684211,8.0,9.0,,,,A,6.71052631578947,2317,A,Sassuolo,3,3,0
45,98.0,BROZOVIC,3.1478494624,31.0,Inter,C,6.0,5.5,15.0,16.0,,,,T,6.70833333333333,265,C,Inter,12,11,1
46,100.0,BRUNOALVES,,10.0,,D,,1.5935300604,6.0,5.0,,,,Dc,6.3,1864,D,Parma,9,9,0
47,101.0,CACCIATORE,1.0771780303,33.0,Chievo,D,6.0,5.2368421053,7.0,7.0,,,,Ds,6.01428571428571,99,D,Cagliari,7,7,0
48,106.0,CAICEDO,2.5649350649000002,22.0,Lazio,A,6.0,3.6315789474,5.0,6.0,,,,Pc,6.41666666666667,2284,A,Lazio,14,14,0
49,107.0,CALABRIA,1.7654761905,21.0,Milan,D,6.0,3.4605263157999997,7.0,6.0,,ME,9.0,E,6.32,357,D,Milan,9,9,0
50,109.0,CALDARA,2.9125905797000002,24.0,Atalanta,D,6.0,4.0394736842,11.0,12.0,,,,Dc,6.39583333333333,1847,D,Milan,4,4,0
51,110.0,CALHANOGLU,3.7198924731,31.0,Milan,C,6.5,5.592105263200001,20.0,21.0,,,,T,6.73529411764706,2194,C,Milan,13,13,0
52,112.0,CALLEJON,4.3842460882,38.0,Napoli,A,6.5,7.1184210526,21.0,21.0,,ME,15.0,W,7.08333333333333,406,C,Napoli,19,18,1
53,115.0,CAN,,33.0,,C,,6.4452883495,18.0,19.0,,,,M,6.2,2504,C,Juventus,14,14,0
54,119.0,CANDREVA,0.835515873,36.0,Inter,C,6.0,5.9342105263,13.0,13.0,,,,W,6.35897435897436,332,C,Inter,9,7,2
55,120.0,CAPEZZI,0.0666666667,6.0,Sampdoria,C,6.0,0.9736842105,4.0,4.0,,,,C,6.0,173,C,Sampdoria,3,3,0
56,122.0,CAPRARI,2.4830659537,34.0,Sampdoria,A,6.0,5.657894736799999,9.0,10.0,,,,T,6.428571428571429,1958,A,Sampdoria,13,14,-1
57,126.0,CAPUTO,,36.0,,A,,5.774257147799999,14.0,14.0,,,,Pc,7.2,2819,A,Sassuolo,27,26,1
58,127.0,CASSATA,2.2805555556,10.0,Sassuolo,C,6.0,1.6184210525999998,2.0,2.0,,,,C,6.125,2213,C,Genoa,2,2,0
59,128.0,CASTAGNE,0.4861842105,20.0,Atalanta,D,6.0,3.1710526316000003,7.0,6.0,,,,E,6.10416666666667,2197,D,Atalanta,14,14,0
60,130.0,CASTILLEJO,,38.0,,A,,6.0697261987,15.0,16.0,,,,A,5.83333333333333,2692,C,Milan,10,10,0
61,132.0,CASTRO,3.5308333333,25.0,Chievo,C,6.0,4.2894736842,11.0,12.0,,,,T,6.43103448275862,112,C,Cagliari,13,13,0
62,134.0,CATALDI,0.9396551724,29.0,Benevento,C,5.5,4.3947368420999995,3.0,4.0,,,,M,5.76666666666667,333,C,Lazio,5,5,0
63,136.0,CECCHERINI,1.0671921922,37.0,Crotone,D,6.0,5.75,5.0,6.0,,BRYAN,11.0,Dd,5.905405405405411,1891,D,Fiorentina,5,5,0
64,138.0,CEPPITELLI,1.9294871795,27.0,Cagliari,D,6.0,4.4605263158,7.0,8.0,,,,Dc,6.25,1866,D,Cagliari,7,7,0
65,139.0,CERAVOLO,,1.0,Benevento,A,5.5,0.1447368421,9.0,10.0,,,,Pc,5.5,2246,A,Parma,3,3,0
66,140.0,CERRI,,21.0,,A,,3.9845116956,6.0,7.0,,,,Pc,5.25,306,A,Cagliari,5,5,0
67,144.0,CHIELLINI,0.2446153846,26.0,Juventus,D,6.0,4.2631578947,13.0,12.0,,,,Dc,6.2833333333333306,288,D,Juventus,15,14,1
68,145.0,CHIESA,2.6196428571,36.0,Fiorentina,C,6.5,6.5131578947,24.0,23.0,,,,W,7.0125,2002,C,Fiorentina,26,26,0
69,147.0,CHIRICHES,0.15476190480000002,7.0,Napoli,D,5.5,1.0657894737,2.0,3.0,,,,Dc,5.78571428571429,640,D,Napoli,4,4,0
70,149.0,CICIRETTI,2.3844696969999997,12.0,Benevento,C,6.0,2.0657894737,11.0,12.0,,,,T,6.54166666666667,2243,C,Napoli,1,1,0
71,151.0,CIGARINI,2.1984615385,26.0,Cagliari,C,6.0,4.0789473684,6.0,7.0,,BRYAN,6.0,M,5.93103448275862,20,C,Cagliari,6,6,0
72,153.0,CIONEK,0.9452380951999999,15.0,SPAL,D,6.5,2.5131578947,9.0,9.0,,,,Dc,6.225,780,D,SPAL,7,7,0
73,154.0,COLLEY,,21.0,,D,,3.9845116956,6.0,7.0,,,,Dc,5.75,2784,D,Sampdoria,7,7,0
74,155.0,CONSIGLI,4.633633633600001,37.0,Sassuolo,P,5.0,4.6315789474,9.0,9.0,,,,Por,4.726190476190481,509,P,Sassuolo,10,10,0
75,156.0,CONTI,0.125,2.0,Milan,D,6.25,0.3289473684,6.0,7.0,,,,E,6.25,11,D,Milan,5,5,0
76,158.0,CORREA,,35.0,,C,,5.4248756564,12.0,12.0,,,,T,6.125,495,A,Lazio,21,20,1
77,162.0,CRAGNO,3.6878078818,29.0,Cagliari,P,5.0,3.6578947368,8.0,8.0,,,,Por,4.77941176470588,2178,P,Cagliari,11,11,0
78,163.0,CRISCITO,,30.0,,D,,4.7231839663,9.0,9.0,,,,Dc,6.625,2759,D,Genoa,14,13,1
79,167.0,CRISTANTE,4.3117063492000005,36.0,Atalanta,C,6.0,6.4868421053,17.0,18.0,,,,C,6.76829268292683,779,C,Roma,10,10,0
80,169.0,CRISTIANORONALDO,,33.0,,A,,8.576232595499999,45.0,49.0,,BRYAN,60.0,Pc,7.9,2610,A,Juventus,45,46,-1
81,170.0,CUADRADO,2.3119047619,21.0,Juventus,C,7.0,3.9736842105,17.0,18.0,,,,W,6.96,697,C,Juventus,9,9,0
82,172.0,DALESSANDRO,1.2625,16.0,Benevento,C,6.25,2.7105263157999997,3.0,3.0,,,,W,6.361111111111111,21,C,SPAL,7,7,0
83,173.0,DAMBROSIO,1.4699197861000002,34.0,Inter,D,6.0,5.5394736842,7.0,8.0,,ME,6.0,Ds,6.1153846153846105,253,D,Inter,9,9,0
84,176.0,DACOSTA,1.5625,4.0,Bologna,P,5.25,0.5394736842,1.0,1.0,,,,Por,5.125,40,P,Bologna,1,1,0
85,178.0,DABO,2.1777777778,10.0,Fiorentina,C,6.0,1.6315789474000002,7.0,7.0,,,,C,6.192307692307691,2659,C,Fiorentina,3,3,0
86,180.0,DALBERT,0.1923076923,13.0,Inter,D,6.0,1.9605263158000001,3.0,3.0,,,,Ds,5.6875,2289,D,Inter,3,3,0
87,183.0,DANILO,0.7134576613,32.0,Udinese,D,6.0,4.9342105263,9.0,8.0,,,,Dc,5.878378378378379,4237,D,Juventus,11,11,0
88,184.0,DEMAIO,1.3784615384999999,26.0,Bologna,D,5.75,4.1315789474,6.0,7.0,,,,Dc,6.01724137931035,224,D,Udinese,6,6,0
89,185.0,DEPAUL,2.5664414414,37.0,Udinese,C,6.0,6.276315789500001,16.0,15.0,,,,T,6.78571428571429,1996,C,Udinese,22,22,0
90,187.0,DEROON,1.4048573975,34.0,Atalanta,C,6.0,5.5131578947,8.0,8.0,,,,M,6.1153846153846105,22,C,Atalanta,11,11,0
91,191.0,DESCIGLIO,1.196969697,12.0,Juventus,D,6.5,2.1052631579,6.0,7.0,,ME,3.0,E,6.66666666666667,358,D,Juventus,5,5,0
92,194.0,DESILVESTRI,2.2785714286000003,35.0,Torino,D,6.0,6.0131578947,14.0,14.0,,ME,10.0,E,6.46153846153846,487,D,Torino,10,10,0
93,196.0,DEVRIJ,1.9777777778,36.0,Lazio,D,6.5,6.421052631599999,18.0,17.0,,GATTI,18.0,Dc,6.7875,322,D,Inter,13,13,0
94,197.0,DEFREL,1.1595238095,15.0,Roma,A,5.5,2.3157894737,22.0,20.0,,,,Pc,6.65789473684211,643,A,Roma,14,14,0
95,198.0,DEIOLA,0.1442307692,13.0,Cagliari,C,6.0,2.0394736842,3.0,3.0,,,,C,5.96875,1871,C,Cagliari,2,2,0
96,200.0,DELLORCO,0.3169642857,8.0,Sassuolo,D,6.0,1.2763157895000001,3.0,4.0,,,,Ds,6.2,517,D,Lecce,4,4,0
97,202.0,DEPAOLI,0.2032163743,19.0,Chievo,C,6.0,2.8947368421,5.0,4.0,,,,E,5.80434782608696,2141,D,Sampdoria,6,6,0
98,205.0,DESSENA,0.09558823529999999,17.0,Cagliari,C,6.0,2.5921052632,3.0,3.0,,,,E,5.8,1872,C,Brescia,4,4,0
99,207.0,DESTRO,5.0338461538,26.0,Bologna,A,6.0,4.5,12.0,13.0,,,,Pc,6.45,472,A,Bologna,18,19,-1
100,208.0,DIFRANCESCOF,1.0851449275,24.0,Bologna,A,6.0,3.9736842105,13.0,14.0,,,,W,6.5,1857,C,SPAL,12,11,1
101,210.0,DIGAUDIO,,1.0,,C,,0.0,4.0,4.0,,,,W,5.7,81,C,Verona,4,4,0
102,212.0,DILORENZO,,10.0,,D,,1.5935300604,6.0,5.0,,,,Dd,6.2,2816,D,Napoli,11,11,0
103,214.0,DIAWARA,1.0334967320000001,18.0,Napoli,C,6.0,2.9868421052999996,9.0,9.0,,,,C,6.21428571428571,58,C,Roma,8,8,0
104,216.0,DIJKS,,10.0,,D,,1.5935300604,7.0,5.0,,,,Ds,6.125,2746,D,Bologna,8,8,0
105,218.0,DIMARCO,,10.0,,D,,1.5935300604,4.0,5.0,,,,Ds,7.66666666666667,254,D,Inter,3,3,0
106,220.0,DJIMSITI,0.6333333333,30.0,Benevento,D,5.5,4.3947368420999995,3.0,2.0,,,,Dc,5.59090909090909,787,D,Atalanta,8,8,0
107,223.0,DJURICIC,0.6,16.0,Benevento,C,6.0,2.5263157895,4.0,5.0,,,,T,5.97058823529412,1995,C,Sassuolo,5,5,0
108,224.0,DONNARUMMAG,1.5741465149,38.0,Milan,P,5.0,4.9868421053,11.0,12.0,,,,Por,4.91666666666667,350,P,Milan,15,15,0
109,227.0,DOUGLASCOSTA,2.247311828,31.0,Juventus,C,6.5,5.8947368421,24.0,24.0,,GATTI,20.0,W,7.071428571428571,2200,C,Juventus,14,14,0
110,228.0,DRAGOWSKI,5.3333333333,3.0,Fiorentina,P,1.5,0.2236842105,2.0,1.0,,,,Por,3.9,1917,P,Fiorentina,10,11,-1
111,229.0,DUNCAN,0.5815384615,26.0,Sassuolo,C,5.75,3.9736842105,8.0,8.0,,,,C,5.887096774193551,526,C,Sassuolo,10,10,0
112,231.0,DURMISI,,10.0,,D,,1.5935300604,4.0,5.0,,,,Ds,6.0,2772,D,Lazio,2,2,0
113,233.0,DYBALA,17.410511363599998,33.0,Juventus,A,6.5,7.2631578947,33.0,36.0,,VE,30.0,A,8.054054054054049,309,A,Juventus,26,26,0
114,234.0,DZEKO,8.825992063500001,36.0,Roma,A,6.0,7.25,34.0,35.0,,GATTI,21.0,Pc,7.51219512195122,647,A,Roma,31,30,1
115,235.0,DZEMAILI,1.4357142857,15.0,Bologna,C,6.0,2.4078947368,11.0,13.0,,,,T,5.875,713,C,Bologna,8,8,0
116,237.0,EDERA,1.1607142857,14.0,Torino,A,6.0,2.3552631579,3.0,4.0,,,,A,6.36666666666667,1839,A,Torino,4,4,0
117,238.0,EKDAL,,31.0,,C,,4.4001562034,8.0,8.0,,,,M,6.375,2391,C,Sampdoria,7,7,0
118,243.0,EYSSERIC,1.0476190476,21.0,Fiorentina,C,6.0,3.3815789474,9.0,8.0,,,,T,6.16,2290,C,Fiorentina,4,4,0
119,245.0,FALCINELLI,1.318296371,32.0,Fiorentina,A,5.5,4.9605263158,15.0,16.0,,,,Pc,5.90277777777778,532,A,Bologna,6,6,0
120,246.0,FARAGO,3.7261904762,7.0,Cagliari,D,7.5,1.4078947368,4.0,4.0,,,,E,7.05,2116,C,Cagliari,4,4,0
121,248.0,FARES,0.38620689659999996,30.0,Verona,C,5.5,4.2631578947,4.0,5.0,,BRYAN,2.0,E,5.371428571428571,633,C,SPAL,7,7,0
122,249.0,FARIAS,1.9083994709,28.0,Cagliari,A,5.75,4.3552631579000005,11.0,12.0,,,,A,5.8484848484848495,1879,A,Lecce,10,11,-1
123,250.0,FAVILLI,,37.0,,A,,4.9909204044,10.0,10.0,,,,Pc,7.0,819,A,Genoa,5,5,0
124,251.0,FAZIO,1.2230392156999998,34.0,Roma,D,6.25,5.671052631599999,11.0,11.0,,ME,12.0,Dc,6.34210526315789,2016,D,Roma,8,9,-1
125,252.0,FELIPE,1.2876436782,30.0,SPAL,D,6.0,4.6447368420999995,6.0,6.0,,,,Dc,5.9,708,D,SPAL,6,6,0
126,254.0,FERRARIA,1.2641666667,25.0,Verona,D,5.5,3.6710526316000003,3.0,4.0,,,,Dd,5.58,45,D,Sampdoria,4,4,0
127,256.0,FERRARIG,1.7704022989,30.0,Sampdoria,D,5.75,4.6447368420999995,10.0,8.0,,,,Dc,6.1,1895,D,Sassuolo,9,9,0
128,257.0,FLOCCARI,3.5947368420999997,20.0,SPAL,A,6.0,3.3684210526,4.0,5.0,,,,Pc,6.4,533,A,SPAL,7,7,0
129,258.0,FLORENZI,1.5393145161000001,32.0,Roma,D,6.0,5.1842105263,14.0,14.0,,BRYAN,10.0,Dd,6.27777777777778,464,D,Roma,10,10,0
130,260.0,FOFANA,2.4707977208000003,27.0,Udinese,C,5.5,4.25,10.0,9.0,,,,M,6.125,1986,C,Udinese,11,11,0
131,262.0,FREULER,2.4966386555,35.0,Atalanta,C,6.0,6.1315789474,16.0,16.0,,ME,6.0,C,6.576923076923079,788,C,Atalanta,13,13,0
132,263.0,GAGLIARDINI,0.2540229885,30.0,Inter,C,6.0,4.5526315789,6.0,7.0,,,,M,5.765625,801,C,Inter,8,8,0
133,265.0,GAGLIOLO,,21.0,,D,,3.3717878602,7.0,6.0,,,,Ds,6.3,73,D,Parma,7,7,0
134,271.0,GERVINHO,,37.0,,A,,4.9909204044,11.0,10.0,,,,A,8.125,474,A,Parma,19,19,0
135,272.0,GHIGLIONE,,1.0,,D,,0.0,2.0,2.0,,,,Dd,6.5,244,D,Genoa,4,3,1
136,274.0,GHOULAM,4.1045454545,11.0,Napoli,D,6.5,2.1315789474,8.0,9.0,,,,Ds,7.36363636363636,390,D,Napoli,12,12,0
137,280.0,GOLDANIGA,1.641025641,13.0,Sassuolo,D,6.0,2.1052631579,5.0,6.0,,,,Dc,6.06666666666667,418,D,Sassuolo,4,4,0
138,281.0,GOLLINI,1.0,7.0,Atalanta,P,6.0,1.0131578947,1.0,1.0,,,,Por,4.95,610,P,Atalanta,14,14,0
139,282.0,GOMEZA,3.9294507575999997,33.0,Atalanta,A,6.5,6.0657894737,24.0,23.0,,BRYAN,20.0,A,7.22972972972973,26,C,Atalanta,26,26,0
140,285.0,GOSENS,0.8642857143000001,21.0,Atalanta,D,6.0,3.4342105263,7.0,7.0,,,,Ds,6.16,2160,D,Atalanta,16,15,1
141,287.0,GRASSI,1.6058201058000001,28.0,SPAL,C,6.0,4.7368421053,9.0,9.0,,,,C,6.38333333333333,27,C,Parma,8,8,0
142,288.0,GUNTER,,1.0,,D,,0.0,3.0,3.0,,,,Dc,5.66666666666667,2758,D,Verona,5,5,0
143,293.0,HANDANOVIC,1.3513513514,38.0,Inter,P,5.75,5.5,15.0,16.0,,ME,28.0,Por,5.441860465116281,250,P,Inter,18,18,0
144,294.0,HATEBOER,0.125,33.0,Atalanta,D,6.0,5.2105263158,9.0,8.0,,,,E,6.09722222222222,2130,D,Atalanta,16,16,0
145,299.0,HIGUAIN,8.3962184874,35.0,Juventus,A,6.5,6.9342105263,32.0,33.0,,BRYAN,23.0,Pc,7.6153846153846105,408,A,Juventus,29,29,0
146,300.0,HILJEMARK,0.8285714286,15.0,Genoa,C,6.0,2.4078947368,6.0,6.0,,,,C,5.94736842105263,433,C,Genoa,5,5,0
147,301.0,HYSAJ,0.2785714286,35.0,Napoli,D,6.0,5.5,9.0,9.0,,,,Dd,5.95,140,D,Napoli,7,7,0
148,304.0,IACOPONI,,1.0,,D,,0.0,2.0,2.0,,,,Dc,5.7,2801,D,Parma,5,4,1
149,306.0,IAGOFALQUE,5.0743243243,37.0,Torino,A,6.0,7.1184210526,25.0,25.0,,ME,18.0,A,7.24390243902439,475,A,Torino,21,21,0
150,307.0,ICARDI,18.5231729055,34.0,Inter,A,9.5,7.921052631599999,37.0,39.0,,ME,51.0,Pc,8.513157894736839,277,A,Inter,31,31,0
151,308.0,ILICIC,8.3962365591,31.0,Atalanta,C,6.5,6.3552631579,24.0,26.0,,ME,2.0,A,7.66666666666667,177,A,Atalanta,25,25,0
152,310.0,IMMOBILE,20.2357954545,33.0,Lazio,A,8.5,8.0526315789,39.0,41.0,,VE,45.0,Pc,9.092105263157901,785,A,Lazio,36,34,2
153,311.0,INGELSSON,2.2380952381,7.0,Udinese,C,6.0,1.1447368421,1.0,1.0,,,,C,6.21428571428571,2191,C,Udinese,1,1,0
154,313.0,INGLESE,6.1737967914,34.0,Chievo,A,5.75,6.1842105263,14.0,13.0,,,,Pc,7.03846153846154,123,A,Parma,23,23,0
155,314.0,INSIGNE,3.9808558559,37.0,Napoli,A,6.5,7.0657894737,26.0,27.0,,VE,30.0,A,7.44047619047619,409,A,Napoli,29,27,2
156,315.0,IONITA,0.2339285714,36.0,Cagliari,C,5.75,5.4868421053,8.0,9.0,,,,C,5.78048780487805,627,C,Cagliari,8,8,0
157,317.0,IZZO,1.05,16.0,Genoa,D,6.0,2.5789473684,9.0,9.0,,VE,9.0,Dd,6.09523809523809,226,D,Torino,16,16,0
158,319.0,JANKTO,2.8593253968,36.0,Udinese,C,6.0,6.092105263200001,14.0,15.0,,,,C,6.36842105263158,1987,C,Sampdoria,9,9,0
159,324.0,JOAOPEDRO,3.2359307359,22.0,Cagliari,C,5.75,3.7368421052999996,12.0,13.0,,,,T,6.58333333333333,1874,A,Cagliari,16,16,0
160,325.0,JUANJESUS,0.44642857140000003,22.0,Roma,D,6.0,3.3289473683999997,6.0,7.0,,,,Dc,5.73913043478261,256,D,Roma,5,5,0
161,327.0,KARNEZIS,,1.0,,P,,0.0,1.0,1.0,,,,Por,5.5,570,P,Napoli,1,1,0
162,332.0,KESSIE,3.6174924925,37.0,Milan,C,6.0,6.1315789474,12.0,11.0,,,,C,6.390243902439019,1850,C,Milan,13,13,0
163,334.0,KHEDIRA,9.5834615385,26.0,Juventus,C,6.0,4.9868421053,19.0,18.0,,GATTI,16.0,C,7.2166666666666694,299,C,Juventus,10,10,0
164,338.0,KLAVAN,,21.0,,D,,3.9845116956,7.0,7.0,,,,Dc,5.75,2871,D,Cagliari,6,6,0
165,339.0,KLUIVERT,,35.0,,A,,6.327430495900001,18.0,18.0,,,,A,6.25,2779,C,Roma,16,16,0
166,340.0,KOLAROV,1.637394958,35.0,Roma,D,6.5,6.1052631579,16.0,17.0,,,,E,6.5,2214,D,Roma,16,15,1
167,342.0,KOUAME,,1.0,,A,,0.0,5.0,3.0,,,,Pc,7.0,2762,A,Genoa,17,16,1
168,343.0,KOULIBALY,2.5785714286,35.0,Napoli,D,6.5,6.1973684211,15.0,17.0,,BRYAN,17.0,Dc,6.6125,392,D,Napoli,15,16,-1
169,346.0,KREJCI,0.1571969697,12.0,Bologna,C,6.0,1.8026315788999998,4.0,5.0,,,,W,5.692307692307691,1858,C,Bologna,3,3,0
170,347.0,KRUNIC,,30.0,,C,,4.7231839663,10.0,9.0,,,,C,6.6,148,C,Milan,13,13,0
171,349.0,KURTIC,1.7919540230000002,30.0,SPAL,C,5.5,4.7631578947,10.0,9.0,,,,T,6.128571428571429,28,C,SPAL,16,16,0
172,353.0,LAPADULA,2.7337962963,28.0,Genoa,A,5.5,4.6973684211,11.0,12.0,,VE,6.0,Pc,6.375,1939,A,Lecce,13,14,-1
173,354.0,LASAGNA,5.373768472899999,29.0,Udinese,A,6.5,5.6973684211,20.0,22.0,,,,Pc,7.26470588235294,90,A,Udinese,16,16,0
174,355.0,LAURINI,0.33766233770000004,22.0,Fiorentina,D,6.0,3.3947368421,2.0,3.0,,,,Dd,5.86363636363636,141,D,Parma,7,7,0
175,357.0,LAXALT,1.8324092741999998,32.0,Genoa,C,6.0,5.3289473684,9.0,9.0,,,,E,6.3,235,C,Milan,5,5,0
176,358.0,LAZOVIC,0.2369047619,21.0,Genoa,C,6.0,3.3289473683999997,5.0,5.0,,,,C,5.96,236,C,Verona,7,7,0
177,360.0,LAZZARIM,1.2285714286,36.0,SPAL,C,6.5,6.0,11.0,10.0,,,,E,6.378048780487799,2263,C,Lazio,15,15,0
