"Id","R","Name","Squadra","Qt. Amantra","Qt. Imantra","Diff."
2335,"Dc","LUIZ FELIPE","Lazio",8,7,1
2016,"Dc","FAZIO","Roma",8,9,-1
259,"Dc","MURILLO","Sampdoria",8,9,-1
2171,"Dc","LYANCO","Torino",8,8,0
4516,"Dc","SKRTEL","Atalanta",8,8,0
4513,"C;W","ZMRHAL","Brescia",8,8,0
713,"C;T","DZEMAILI","Bologna",8,8,0
627,"C;T","IONITA","Cagliari",8,8,0
4377,"C;T","CASTROVILLI","Fiorentina",8,7,1
264,"C;T","BESSA","Verona",8,8,0
299,"C","KHEDIRA","Juventus",8,8,0
4388,"A","ADEKANYE","Lazio",8,8,0
111,"T","BIRSA","Cagliari",7,7,0
4405,"T","MARONI","Sampdoria",7,7,0
4425,"Por","JORONEN","Brescia",7,6,1
1843,"Por","RADU I","Genoa",7,8,-1
2211,"Por","SILVESTRI","Verona",7,6,1
4413,"Pc","AYE'","Brescia",7,7,0
2163,"Pc","CORNELIUS","Parma",7,7,0
533,"Pc","FLOCCARI","SPAL",7,7,0
20,"M;C","CIGARINI","Cagliari",7,7,0
4330,"M;C","LERAGER","Genoa",7,7,0
4423,"M;C","HERNANI","Parma",7,7,0
529,"M;C","MISSIROLI","SPAL",7,7,0
2011,"M;C","MIGUEL VELOSO","Verona",7,5,2
2389,"M;C","IMBULA","Lecce",7,7,0
118,"M","RADOVANOVIC","Genoa",7,6,1
2392,"M","WALACE","Udinese",7,7,0
4424,"E;W","JONY","Lazio",7,7,0
21,"E","D'ALESSANDRO","SPAL",7,7,0
633,"E","FARES","SPAL",7,7,0
4526,"E","ARANA","Atalanta",7,7,0
1852,"Ds;E","SPINAZZOLA","Roma",7,7,0
2318,"Ds;E","ROGERIO","Sassuolo",7,7,0
4420,"Ds;Dc","BOCCHETTI","Verona",7,7,0
141,"Dd;E","LAURINI","Parma",7,7,0
140,"Dd;Ds;E","HYSAJ","Napoli",7,7,0
15,"Dd;Dc","MASIELLO A","Atalanta",7,7,0
1866,"Dc","CEPPITELLI","Cagliari",7,7,0
294,"Dc","RUGANI","Juventus",7,7,0
2168,"Dc","MUSACCHIO","Milan",7,7,0
2784,"Dc","COLLEY","Sampdoria",7,7,0
780,"Dc","CIONEK","SPAL",7,7,0
2261,"Dc","VICARI","SPAL",7,7,0
4479,"C;T","ELMAS","Napoli",7,7,0
4447,"C","NDOJ","Brescia",7,7,0
2166,"C","BENTANCUR","Juventus",7,7,0
2802,"C","BARILLA'","Parma",7,7,0
27,"C","GRASSI","Parma",7,7,0
2773,"W;A","SPROCATI","Parma",6,6,0
385,"Por","GABRIEL","Lecce",6,6,0
305,"M;C","STURARO","Genoa",6,6,0
170,"M;C","BADELJ","Fiorentina",6,6,0
333,"M;C","CATALDI","Lazio",6,6,0
589,"M;C","BADU","Verona",6,6,0
4522,"E;M","AMRABAT","Verona",6,5,1
1896,"Ds;E","MARTELLA","Brescia",6,6,0
1979,"Ds;E","BARRECA","Genoa",6,6,0
2728,"Ds;E","PELLEGRINI LU","Cagliari",6,6,0
4470,"Ds;E","CALDERONI","Lecce",6,6,0
791,"Dd;E","SABELLI","Brescia",6,6,0
4398,"Dd;E","BENZAR","Lecce",6,6,0
2104,"Dd;E","BERESZYNSKI","Sampdoria",6,6,0
2141,"Dd;E","DEPAOLI","Sampdoria",6,6,0
50,"Dd;Ds;E","MBAYE","Bologna",6,6,0
4373,"Dd;Ds;E","MATEJU","Brescia",6,6,0
106,"Dd;Ds;E","MATTIELLO","Cagliari",6,6,0
4409,"Dd;Ds;Dc","RRAHMANI","Verona",6,5,1
1891,"Dd;Dc","CECCHERINI","Fiorentina",6,6,0
2184,"Dd;Dc","GRAVILLON","Sassuolo",6,6,0
4429,"Dc","CHANCELLOR","Brescia",6,5,1
2871,"Dc","KLAVAN","Cagliari",6,6,0
2769,"Dc","MAGNANI","Brescia",6,6,0
2355,"Dc","MARLON","Sassuolo",6,6,0
708,"Dc","FELIPE","SPAL",6,6,0
224,"Dc","DE MAIO","Udinese",6,6,0
2870,"Dc","TROOST-EKONG","Udinese",6,5,1
600,"C;T","VERRE","Verona",6,6,0
2274,"C;T","VALOTI","SPAL",6,6,0
4376,"C","ZURKOWSKI","Fiorentina",6,6,0
2009,"C","LUKIC","Torino",6,5,1
4381,"A","GUMUS","Genoa",6,6,0
2187,"W","BORINI","Milan",5,5,0
532,"Pc","FALCINELLI","Bologna",5,5,0
505,"Pc","BONAZZOLI","Sampdoria",5,4,1
2853,"Pc","MONCINI","SPAL",5,5,0
4400,"M;C","SHAKHOV","Lecce",5,5,0
494,"M;C","BARRETO","Sampdoria",5,5,0
434,"M;C","JAJALO","Udinese",5,5,0
430,"M;C","BRUGMAN","Parma",5,5,0
241,"M","TACHTSIDIS","Lecce",5,5,0
528,"M","MAGNANELLI","Sassuolo",5,5,0
272,"M","MEDEL","Bologna",5,5,0
1872,"E;M","DESSENA","Brescia",5,5,0
2188,"E","MARUSIC","Lazio",5,5,0
235,"E","LAXALT","Torino",5,5,0
4524,"E","SEMA","Udinese",5,5,0
1876,"Ds;E","PAJAC","Genoa",5,5,0
142,"Ds;E","MARIO RUI","Napoli",5,5,0
770,"Ds;E","PEZZELLA GIU","Parma",5,5,0
256,"Ds;Dc","JUAN JESUS","Roma",5,5,0
517,"Ds;Dc","DELL'ORCO","Lecce",5,5,0
11,"Dd;E","CONTI","Milan",5,5,0
423,"Dd;E","RISPOLI","Lecce",5,5,0
2174,"Dd;Ds;E","VENUTI","Fiorentina",5,5,0
358,"Dd;Ds;E","DE SCIGLIO","Juventus",5,5,0
1869,"Dd;Ds;Dc","PISACANE","Cagliari",5,5,0
4422,"Dd;Dc","TOMIYASU","Bologna",5,4,1
54,"Dd;Dc","ROSSETTINI","Lecce",5,5,0
550,"Dd;Dc","MAKSIMOVIC","Napoli",5,5,0
2801,"Dd;Dc","IACOPONI","Parma",5,4,1
2279,"Dc","ROMAGNA","Cagliari",5,5,0
2062,"Dc","BASTOS","Lazio",5,5,0
2241,"Dc","LUCIONI","Lecce",5,5,0
144,"Dc","TONELLI","Napoli",5,5,0
4493,"Dc","DAWIDOWICZ","Verona",5,5,0
2758,"Dc","GUNTER","Verona",5,5,0
4519,"Dc","CETIN","Roma",5,5,0
2334,"C;W","LERIS","Sampdoria",5,5,0
2771,"C;T","BERISHA V","Lazio",5,5,0
4475,"C;T","MAJER","Lecce",5,5,0
433,"C","HILJEMARK","Genoa",5,5,0
179,"C","PETRICCIONE","Lecce",5,5,0
4404,"C","THORSBY","Sampdoria",5,5,0
2825,"C","BOURABIA","Sassuolo",5,5,0
658,"A","FALCO","Lecce",5,4,1
2290,"W;T","EYSSERIC","Fiorentina",4,4,0
81,"W","DI GAUDIO","Verona",4,4,0
1995,"T","DJURICIC","Sassuolo",4,4,0
282,"Por","BUFFON","Juventus",4,4,0
380,"Pc","MATRI","Sassuolo",4,4,0
2854,"M;C","BRADARIC","Cagliari",4,4,0
2804,"M;C","SCOZZARELLA","Parma",4,4,0
2193,"M;C","GONALONS","Roma",4,4,0
2855,"M;C","VIEIRA","Sampdoria",4,4,0
631,"M;C","VIVIANI","SPAL",4,4,0
2116,"E;C","FARAGO'","Cagliari",4,4,0
2653,"Ds;E","LYKOGIANNIS","Cagliari",4,4,0
4421,"Ds;E","AUGELLO","Sampdoria",4,4,0
4496,"Ds;E","VITALE L","Verona",4,4,0
4494,"Ds;Dc","EMPEREUR","Verona",4,4,0
244,"Dd;E","GHIGLIONE","Genoa",4,3,1
630,"Dd;E","SALA","Sampdoria",4,4,0
2795,"Dd;E","TER AVEST","Udinese",4,4,0
581,"Dd;E","FARAONI","Verona",4,4,0
45,"Dd;Dc","FERRARI A","Sampdoria",4,4,0
4521,"Dd;Dc","MULDUR","Sassuolo",4,3,1
169,"Dd;Dc","TOMOVIC","SPAL",4,4,0
287,"Dd;Dc","CACERES","Fiorentina",4,4,0
2285,"Dc","BANI","Bologna",4,4,0
2120,"Dc","BASTONI","Inter",4,4,0
4472,"Dc","MECCARIELLO","Lecce",4,4,0
1847,"Dc","CALDARA","Milan",4,4,0
640,"Dc","CHIRICHES","Napoli",4,4,0
139,"Dc","DERMAKU","Parma",4,4,0
4403,"Dc","CHABOT","Sampdoria",4,4,0
418,"Dc","GOLDANIGA","Sassuolo",4,4,0
2788,"Dc","BREMER","Torino",4,4,0
2280,"Dc","NUYTINCK","Udinese",4,4,0
4393,"C;T","SCHOUTEN","Bologna",4,4,0
2833,"C;T","KULUSEVSKI","Parma",4,4,0
4384,"C","JAGIELLO","Genoa",4,4,0
4498,"C","HENDERSON L","Verona",4,4,0
4515,"C","AGUDELO","Genoa",4,4,0
2839,"A","SOTTIL","Fiorentina",4,3,1
1998,"A","PJACA","Juventus",4,4,0
4338,"W;T","JANKOVIC","SPAL",3,3,0
2468,"Por","OSPINA","Napoli",3,3,0
306,"Pc","CERRI","Cagliari",3,3,0
2146,"Pc","HAN","Cagliari",3,3,0
2841,"Pc","VLAHOVIC","Fiorentina",3,3,0
819,"Pc","FAVILLI","Genoa",3,3,0
2246,"Pc","CERAVOLO","Parma",3,3,0
2075,"M;C","CRISTOFORO","Fiorentina",3,3,0
2659,"M;C","DABO","Fiorentina",3,3,0
173,"M;C","CAPEZZI","Sampdoria",3,3,0
4327,"M","OLIVA","Cagliari",3,3,0
1999,"E","LUKAKU J","Lazio",3,3,0
2739,"Ds;E","RECA","SPAL",3,3,0
2289,"Ds;E","DALBERT","Fiorentina",3,3,0
254,"Ds;E","DIMARCO","Inter",3,3,0
393,"Ds;Dc","LUPERTO","Napoli",3,3,0
521,"Ds;Dc","PELUSO","Sassuolo",3,3,0
824,"Dd;E","ADJAPONG","Verona",3,3,0
2787,"Dd;E","DICKMANN","SPAL",3,3,0
262,"Dd;Ds;E","SANTON","Roma",3,3,0
4374,"Dc","WALUKIEWICZ","Cagliari",3,3,0
261,"Dc","RANOCCHIA","Inter",3,2,1
2007,"Dc","WALLACE","Lazio",3,3,0
491,"Dc","SALAMON","SPAL",3,3,0
2835,"C;T","KINGSLEY","Bologna",3,2,1
4474,"C;T","HAYE","Lecce",3,3,0
4476,"C;T","TABANELLI","Lecce",3,3,0
2057,"C;T","GUSTAFSON","Torino",3,3,0
2741,"C","PESSINA","Verona",3,3,0
2744,"C","SVANBERG","Bologna",3,3,0
172,"C","BORJA VALERO","Inter",3,3,0
2317,"A","BRIGNOLA","Sassuolo",3,3,0
1839,"A","EDERA","Torino",3,3,0
2073,"A","RAGUSA","Verona",3,3,0
1982,"W","PARIGINI","Torino",2,2,0
2048,"T;A","LO FASO","Lecce",2,2,0
4389,"T","ANDERSON A","Lazio",2,2,0
611,"Por","RAFAEL","Cagliari",2,1,1
2646,"M;C","SANDRO","Genoa",2,2,0
2726,"M;C","DANZI","Verona",2,2,0
1858,"E","KREJCI","Bologna",2,2,0
4443,"Ds;E","CURCIO","Brescia",2,2,0
2772,"Ds;E","DURMISI","Lazio",2,2,0
4399,"Ds;E","VERA","Lecce",2,2,0
395,"Ds;E","STRINIC","Milan",2,2,0
4406,"Ds;E","TRIPALDELLI","Sassuolo",2,2,0
490,"Ds;Dc;E","REGINI","Sampdoria",2,2,0
4454,"Dd;E","PINNA","Cagliari",2,1,1
805,"Dd;E","FIAMOZZI","Lecce",2,2,0
4444,"Dd;Dc;E","SEMPRINI","Brescia",2,2,0
327,"Dd;Dc;E","PATRIC","Lazio",2,2,0
4302,"Dd;Dc","SIERRALTA","Udinese",2,2,0
4331,"Dc","IBANEZ","Atalanta",2,2,0
47,"Dc","GASTALDELLO","Brescia",2,2,0
2752,"Dc","RASMUSSEN","Fiorentina",2,2,0
2664,"Dc","EL YAMIQ","Genoa",2,1,1
2793,"Dc","OPOKU","Udinese",2,2,0
4495,"Dc","KUMBULLA","Verona",2,1,1
1871,"C","DEIOLA","Cagliari",2,2,0
438,"C","RIGONI L","Parma",2,2,0
1976,"C","MAZZITELLI","Sassuolo",2,2,0
405,"C","VALDIFIORI","SPAL",2,2,0
4333,"A","DESPODOV","Cagliari",2,2,0
4455,"A","RAGATZU","Cagliari",2,2,0
4507,"A","TUTINO","Verona",2,1,1
2657,"A","ANTONUCCI","Roma",2,2,0
2243,"W;T","CICIRETTI","Napoli",1,1,0
4353,"T;A","MONTIEL","Fiorentina",1,1,0
4450,"T","TREMOLADA","Brescia",1,1,0
4465,"T","FAGIOLI","Juventus",1,1,0
4364,"T","GAETANO","Napoli",1,1,0
2297,"Por","ROSSI F","Atalanta",1,1,0
4,"Por","SPORTIELLO","Atalanta",1,1,0
40,"Por","DA COSTA","Bologna",1,1,0
42,"Por","SARR M","Bologna",1,1,0
4440,"Por","ALFONSO","Brescia",1,1,0
4441,"Por","ANDRENACCI","Brescia",1,1,0
1946,"Por","ARESTI","Cagliari",1,1,0
4351,"Por","BRANCOLINI","Fiorentina",1,1,0
2294,"Por","CEROFOLINI","Fiorentina",1,1,0
2815,"Por","TERRACCIANO","Fiorentina",1,1,0
4325,"Por","JANDREI","Genoa",1,1,0
318,"Por","MARCHETTI","Genoa",1,1,0
2761,"Por","VODISEK","Genoa",1,1,0
248,"Por","BERNI","Inter",1,1,0
543,"Por","PADELLI","Inter",1,1,0
218,"Por","PERIN","Juventus",1,1,0
1930,"Por","PINSOGLIO","Juventus",1,1,0
317,"Por","GUERRIERI","Lazio",1,1,0
2770,"Por","PROTO","Lazio",1,1,0
4468,"Por","BLEVE","Lecce",1,1,0
4469,"Por","MILLI","Lecce",1,1,0
2809,"Por","VIGORITO","Lecce",1,1,0
216,"Por","DONNARUMMA AN","Milan",1,1,0
387,"Por","REINA","Milan",1,1,0
570,"Por","KARNEZIS","Napoli",1,1,0
412,"Por","COLOMBI","Parma",1,1,0
2781,"Por","FUZATO","Roma",1,1,0
41,"Por","MIRANTE","Roma",1,1,0
2836,"Por","OLSEN","Cagliari",1,1,0
2134,"Por","FALCONE","Sampdoria",1,1,0
510,"Por","PEGOLO","Sassuolo",1,1,0
4485,"Por","THIAM D","SPAL",1,1,0
2790,"Por","ROSATI","Torino",1,1,0
2270,"Por","ZACCAGNO","Torino",1,1,0
2271,"Por","NICOLAS","Udinese",1,1,0
673,"Por","PERISAN","Udinese",1,1,0
4491,"Por","BERARDI A","Verona",1,1,0
4410,"Por","BORGHETTO","Verona",1,1,0
3,"Por","RADUNOVIC","Verona",1,1,0
654,"Por","ALASTRA","Parma",1,1,0
4518,"Por","RUSSO A","Sassuolo",1,1,0
4520,"Por","LETICA","SPAL",1,1,0
4523,"Por","AVOGADRI","Sampdoria",1,1,0
4525,"Por","GEMELLO","Torino",1,1,0
4359,"Pc","PICCOLI","Atalanta",1,1,0
4463,"Pc","ESPOSITO SE","Inter",1,1,0
2304,"Pc","SALCEDO E","Verona",1,1,0
4387,"Pc","ADORANTE","Parma",1,1,0
4371,"Pc","RASPADORI","Sassuolo",1,1,0
4489,"Pc","RAUTI","Torino",1,1,0
767,"Pc","TUPTA","Verona",1,1,0
4451,"M;C","VIVIANI M","Brescia",1,1,0
4459,"M;C","ROVELLA","Genoa",1,1,0
4486,"E;W","STREFEZZA","SPAL",1,1,0
4375,"Ds;E","TERZIC","Fiorentina",1,1,0
4502,"Ds;E","GALLO","Lecce",1,1,0
2747,"Ds;Dc","PAZ","Bologna",1,1,0
4378,"Ds;Dc","RANIERI L","Fiorentina",1,1,0
4481,"Dd;E","BOUAH","Roma",1,1,0
4488,"Dd;E","GILLI","Torino",1,1,0
457,"Dd;Ds;E","CRESCENZI","Verona",1,1,0
4432,"Dc","OKOLI","Atalanta",1,1,0
4365,"Dc","CORBO","Bologna",1,1,0
4504,"Dc","MANGRAVITI","Brescia",1,1,0
4392,"Dc","RIZZO N","Genoa",1,1,0
4467,"Dc","JORGE SILVA","Lazio",1,1,0
4473,"Dc","RICCARDI D","Lecce",1,1,0
4401,"Dc","GABBIA","Milan",1,1,0
4480,"Dc","MINELLI","Parma",1,1,0
2783,"Dc","BIANDA","Roma",1,1,0
2724,"Dc","BUONGIORNO","Torino",1,1,0
4509,"Dc","CIPRIANO","Lazio",1,1,0
4435,"C;W;T","COLLEY E","Atalanta",1,1,0
4383,"C;T","ZENNARO","Genoa",1,1,0
2852,"C;T","RICCARDI","Roma",1,1,0
4490,"C;T","DE ANGELIS","Torino",1,1,0
2213,"C","CASSATA","Genoa",1,1,0
4411,"C","AGOUME","Inter",1,1,0
4349,"C","NICOLUSSI CAVIGLIA","Juventus",1,1,0
4370,"C","PORTANOVA","Juventus",1,1,0
4499,"C","LUCAS FELIPPE","Verona",1,1,0
4436,"A","CAMBIAGHI","Atalanta",1,1,0
4368,"A","JUWARA","Bologna",1,1,0
606,"A","THEREAU","Fiorentina",1,1,0
4483,"A","CANGIANO","Bologna",1,1,0
4508,"A","BAHLOULI","Sampdoria",1,1,0
4346,"A","MILLICO","Torino",1,1,0
2794,"A","MICIN","Udinese",1,1,0
