"Id","R","Nome","Squadra","Pg","Mv","Mf","WeightedPerf"
2794,"A","MICIN","Udinese",0,0,0,0
2795,"D","TER AVEST","Udinese",13,5.92,6,2.05263157894737
2797,"D","JUNIOR TAVARES","Sampdoria",3,5.67,5.5,0.434210526315789
2798,"P","DINI","Parma",0,0,0,0
2799,"P","FRATTALI","Parma",1,6.5,4.5,0.118421052631579
2800,"D","DI CESARE","Parma",0,0,0,0
2801,"D","IACOPONI","Parma",38,5.71,5.66,5.66
2802,"C","BARILLA'","Parma",31,5.89,6.08,4.96
2803,"C","SCAVONE","Parma",0,0,0,0
2804,"C","SCOZZARELLA","Parma",19,5.92,5.87,2.935
2805,"A","BARAYE","Parma",0,0,0,0
2806,"A","CALAIO'","Parma",0,0,0,0
2807,"A","DA CRUZ","Parma",3,5.5,5.5,0.434210526315789
2808,"C","FREDIANI","Parma",0,0,0,0
2810,"D","BRIGHENTI","Frosinone",11,5.64,5.45,1.57763157894737
2811,"C","KONE'","Frosinone",0,0,0,0
2812,"A","CIANO","Frosinone",32,5.98,6.48,5.45684210526316
2814,"P","PROVEDEL","Empoli",16,5.84,3.59,1.51157894736842
2815,"P","TERRACCIANO","Fiorentina",10,6.35,5.05,1.32894736842105
2816,"D","DI LORENZO","Empoli",37,6.03,6.41,6.24131578947369
2817,"D","UNTERSEE","Empoli",3,5.5,5.5,0.434210526315789
2818,"C","BENNACER","Empoli",35,5.9,5.86,5.39736842105263
2819,"A","CAPUTO","Empoli",38,6.08,7.14,7.14
2825,"C","BOURABIA","Sassuolo",31,5.82,5.77,4.70710526315789
2826,"A","PUSSETTO","Udinese",32,5.92,6.27,5.28
2827,"A","MACHIS","Udinese",11,5.82,5.86,1.69631578947368
2828,"C","COLOMBATTO","Cagliari",0,0,0,0
2829,"D","VALJENT","Chievo",0,0,0,0
2830,"C","NORGAARD","Fiorentina",5,5.7,5.7,0.75
2831,"D","DJOUROU","SPAL",5,5.6,5.6,0.736842105263158
2832,"C","BOGA","Sassuolo",24,6.15,6.56,4.14315789473684
2833,"C","KULUSEVSKI","Atalanta",3,5.5,5.5,0.434210526315789
2834,"D","BRIGNANI","Bologna",0,0,0,0
2835,"C","KINGSLEY","Bologna",0,0,0,0
2836,"P","OLSEN","Roma",27,6,4.41,3.13342105263158
2838,"D","IMPERIALE","Empoli",0,0,0,0
2839,"A","SOTTIL","Fiorentina",0,0,0,0
2840,"A","GRAICIAR","Fiorentina",0,0,0,0
2841,"A","VLAHOVIC","Fiorentina",4,5.62,5.62,0.591578947368421
2842,"A","ZANIMACCHIA","Genoa",0,0,0,0
2843,"C","EMMERS","Inter",0,0,0,0
2844,"A","COLIDIO","Inter",0,0,0,0
2845,"P","CONTINI N","Napoli",0,0,0,0
2846,"C","BAUMGARTNER","Sampdoria",0,0,0,0
2847,"D","SERNICOLA","Sassuolo",0,0,0,0
2848,"C","FRATTESI","Sassuolo",0,0,0,0
2849,"A","DAMASCAN","Torino",0,0,0,0
2850,"C","KATUMA","Udinese",0,0,0,0
2852,"C","RICCARDI","Roma",0,0,0,0
2853,"A","MONCINI","SPAL",0,0,0,0
2854,"C","BRADARIC","Cagliari",23,5.65,5.5,3.32894736842105
2855,"C","VIEIRA","Sampdoria",10,5.8,5.7,1.5
2856,"C","ROLON","Genoa",17,5.71,5.47,2.44710526315789
2857,"C","TRAORE' HJ","Empoli",30,6.08,6.28,4.95789473684211
2858,"A","GALANO","Parma",0,0,0,0
2859,"A","MIRALLAS","Fiorentina",23,5.7,5.96,3.60736842105263
2860,"D","MALCUIT","Napoli",23,6.11,6.15,3.72236842105263
2861,"P","SEMPER","Chievo",6,6.25,4.92,0.776842105263158
2862,"P","IACOBUCCI","Frosinone",0,0,0,0
2863,"C","FERNANDES","Fiorentina",28,5.68,5.71,4.20736842105263
2865,"D","AINA","Torino",29,5.91,6.02,4.59421052631579
2866,"C","VLOET","Frosinone",5,5.9,5.9,0.776315789473684
2867,"A","CAMPBELL","Frosinone",15,5.67,5.73,2.26184210526316
2868,"A","RIGONI E","Atalanta",9,5.78,6.72,1.59157894736842
2869,"D","DJIDJI","Torino",16,5.97,5.91,2.48842105263158
2870,"D","TROOST-EKONG","Udinese",35,5.79,5.73,5.27763157894737
2871,"D","KLAVAN","Cagliari",15,5.9,5.83,2.30131578947368
2872,"A","ARDAIZ","Frosinone",1,5.5,5.5,0.144736842105263
2873,"A","TEODORCZYK","Udinese",12,5.67,5.62,1.77473684210526
2874,"P","GHIDOTTI","Fiorentina",0,0,0,0
2875,"P","BAGHERIA","Parma",0,0,0,0
2876,"A","MATARESE","Frosinone",0,0,0,0
2877,"C","BURRUCHAGA","Chievo",1,6,6,0.157894736842105
2878,"A","DALMONTE","Genoa",2,5.75,5.75,0.302631578947368
4302,"D","SIERRALTA","Parma",5,5.5,4.9,0.644736842105263
4303,"P","DAGA","Cagliari",0,0,0,0
4307,"D","ROMERO C","Genoa",27,6,6,4.26315789473684
4322,"C","PAQUETA'","Milan",13,6.12,6.19,2.11763157894737
4323,"D","ZEEGELAAR","Udinese",12,5.46,5.17,1.63263157894737
4324,"A","OKAKA","Udinese",14,6.29,7.5,2.76315789473684
4325,"P","JANDREI","Genoa",1,6.5,5.5,0.144736842105263
4327,"C","OLIVA","Cagliari",0,0,0,0
4328,"P","PERUCCHINI","Empoli",0,0,0,0
4329,"D","NIKOLAOU","Empoli",4,6,6,0.631578947368421
4330,"C","LERAGER","Genoa",14,5.68,5.75,2.11842105263158
4331,"D","IBANEZ","Atalanta",0,0,0,0
4332,"D","DEMIRAL","Sassuolo",14,6.29,6.61,2.43526315789474
4333,"A","DESPODOV","Cagliari",3,5.67,5.67,0.447631578947368
4334,"C","PIAZON","Chievo",3,5.67,5.67,0.447631578947368
4335,"A","SCHIAPPACASSE","Parma",3,5.33,5.33,0.42078947368421
4336,"P","BRAZAO","Parma",0,0,0,0
4337,"A","OBERLIN","Empoli",3,5.5,5.5,0.434210526315789
4338,"C","JANKOVIC","SPAL",2,6,5.75,0.302631578947368
4339,"D","WILMOT","Udinese",3,5.17,5.17,0.408157894736842
4346,"A","MILLICO","Torino",0,0,0,0
4347,"A","DORATIOTTO","Cagliari",1,5.5,5.5,0.144736842105263
4348,"A","VERDE F","Cagliari",0,0,0,0
4349,"C","NICOLUSSI CAVIGLIA","Juventus",2,6,6,0.31578947368421
4351,"P","BRANCOLINI","Fiorentina",0,0,0,0
4352,"A","CELAR","Roma",0,0,0,0
4353,"C","MONTIEL","Fiorentina",0,0,0,0
4354,"D","COCCOLO","Juventus",0,0,0,0
4355,"D","GOZZI","Juventus",1,5,5,0.131578947368421
4357,"A","MAVIDIDI","Juventus",1,5.5,5.5,0.144736842105263
4358,"A","GRUBAC","Chievo",3,5.17,5,0.394736842105263
4359,"A","PICCOLI","Atalanta",1,5.5,5.5,0.144736842105263
4360,"P","CAPRILE","Chievo",0,0,0,0
4361,"C","KARAMOKO","Chievo",1,5,5,0.131578947368421
4362,"C","BELOKO","Fiorentina",1,5.5,5,0.131578947368421
4363,"D","NDRECKA","Chievo",1,5,5,0.131578947368421
4364,"C","GAETANO","Napoli",0,0,0,0
4365,"D","CORBO","Bologna",0,0,0,0
4366,"D","ARMINI","Lazio",1,5.5,5.5,0.144736842105263
4367,"P","DEL FAVERO","Juventus",0,0,0,0
4368,"A","JUWARA","Chievo",0,0,0,0
4369,"C","CAPANNI","Lazio",0,0,0,0
4370,"C","PORTANOVA","Juventus",1,6,5.5,0.144736842105263
4371,"A","RASPADORI","Sassuolo",0,0,0,0
