,Unnamed: 0,Unnamed: 0.1,Name,VarianceFantasyEvaluation,PlayedMatches,Team,Role,MedianFantasyEvaluation,WeightedFantasyEvaluation,Qt..A,Qt..I,Plays2018_2019,Owner,Price,MantraRole,MeanFantasyEvaluation,Id,R,Squadra,Qt. A,Qt. I,Diff.,ComputedPrices
147,147,301.0,HYSAJ,0.2785714286,35.0,Napoli,D,6.0,5.5,9.0,9.0,,,,Dd,5.95,140,D,Napoli,7,7,0,-1.4680983449712777
148,148,304.0,IACOPONI,,1.0,,D,,0.0,2.0,2.0,,,,Dc,5.7,2801,D,Parma,5,4,1,-12.304062319759474
149,149,306.0,IAGOFALQUE,5.0743243243,37.0,Torino,A,6.0,7.1184210526,25.0,25.0,,ME,18.0,A,7.24390243902439,475,A,Torino,21,21,0,48.00500226524789
150,150,307.0,ICARDI,18.5231729055,34.0,Inter,A,9.5,7.9210526315999985,37.0,39.0,,ME,51.0,Pc,8.513157894736839,277,A,Inter,31,31,0,103.0194278368618
151,151,308.0,ILICIC,8.3962365591,31.0,Atalanta,C,6.5,6.3552631579,24.0,26.0,,ME,2.0,A,7.66666666666667,177,A,Atalanta,25,25,0,66.3292340274915
152,152,310.0,IMMOBILE,20.2357954545,33.0,Lazio,A,8.5,8.0526315789,39.0,41.0,,VE,45.0,Pc,9.092105263157901,785,A,Lazio,36,34,2,128.11323914689802
153,153,311.0,INGELSSON,2.2380952381,7.0,Udinese,C,6.0,1.1447368421,1.0,1.0,,,,C,6.21428571428571,2191,C,Udinese,1,1,0,6.47061848780189
154,154,313.0,INGLESE,6.1737967914,34.0,Chievo,A,5.75,6.1842105263,14.0,13.0,,,,Pc,7.03846153846154,123,A,Parma,23,23,0,39.10040147545956
155,155,314.0,INSIGNE,3.9808558559,37.0,Napoli,A,6.5,7.0657894737,26.0,27.0,,VE,30.0,A,7.44047619047619,409,A,Napoli,29,27,2,56.525266621730594
156,156,315.0,IONITA,0.2339285714,36.0,Cagliari,C,5.75,5.4868421053,8.0,9.0,,,,C,5.78048780487805,627,C,Cagliari,8,8,0,-12.331855586917442
